time,"V(B1|XDUT)","V(B2|XDUT)","P(B1|XDUT)","P(B2|XDUT)"
2.250000e-11,2.821292e-04,2.317940e-05,7.098214e+00,7.166798e+00
2.260000e-11,2.468291e-04,-1.091320e-05,7.177146e+00,7.168708e+00
2.270000e-11,1.971973e-04,-4.171502e-05,7.243403e+00,7.160894e+00
2.280000e-11,1.373816e-04,-6.786691e-05,7.293317e+00,7.144542e+00
2.290000e-11,7.174720e-05,-8.834242e-05,7.324490e+00,7.121196e+00
2.300000e-11,4.617928e-06,-1.024604e-04,7.335816e+00,7.092658e+00
2.310000e-11,-5.989791e-05,-1.098919e-04,7.327458e+00,7.060885e+00
2.320000e-11,-1.180300e-04,-1.106592e-04,7.300762e+00,7.027878e+00
2.330000e-11,-1.664545e-04,-1.051239e-04,7.258145e+00,6.995581e+00
2.340000e-11,-2.024185e-04,-9.395928e-05,7.202936e+00,6.965782e+00
2.350000e-11,-2.238909e-04,-7.810478e-05,7.139180e+00,6.940027e+00
2.360000e-11,-2.297259e-04,-5.870435e-05,7.071392e+00,6.919551e+00
2.370000e-11,-2.198043e-04,-3.703129e-05,7.004271e+00,6.905224e+00
2.380000e-11,-1.951100e-04,-1.440639e-05,6.942374e+00,6.897530e+00
2.390000e-11,-1.577057e-04,7.883546e-06,6.889795e+00,6.896562e+00
2.400000e-11,-1.105938e-04,2.865989e-05,6.849866e+00,6.902045e+00
2.410000e-11,-5.747112e-05,4.691328e-05,6.824914e+00,6.913376e+00
2.420000e-11,-2.407130e-06,6.184759e-05,6.816110e+00,6.929681e+00
2.430000e-11,5.051249e-05,7.290501e-05,6.823407e+00,6.949885e+00
2.440000e-11,9.753641e-05,7.977248e-05,6.845597e+00,6.972779e+00
2.450000e-11,1.355525e-04,8.237164e-05,6.880453e+00,6.997096e+00
2.460000e-11,1.623157e-04,8.083603e-05,6.924951e+00,7.021577e+00
2.470000e-11,1.765763e-04,7.547989e-05,6.975553e+00,7.045027e+00
2.480000e-11,1.781019e-04,6.676330e-05,7.028498e+00,7.066367e+00
2.490000e-11,1.675993e-04,5.525747e-05,7.080097e+00,7.084675e+00
2.500000e-11,1.465615e-04,4.161294e-05,7.126986e+00,7.099206e+00
2.510000e-11,1.170686e-04,2.653189e-05,7.166329e+00,7.109425e+00
2.520000e-11,8.157783e-05,1.074444e-05,7.195969e+00,7.115008e+00
2.530000e-11,4.272653e-05,-5.012286e-06,7.214504e+00,7.115853e+00
2.540000e-11,3.161647e-06,-2.001434e-05,7.221323e+00,7.112081e+00
2.550000e-11,-3.460005e-05,-3.357196e-05,7.216587e+00,7.104023e+00
2.560000e-11,-6.828703e-05,-4.505284e-05,7.201176e+00,7.092210e+00
2.570000e-11,-9.597051e-05,-5.390809e-05,7.176598e+00,7.077353e+00
2.580000e-11,-1.161501e-04,-5.969991e-05,7.144877e+00,7.060307e+00
2.590000e-11,-1.278283e-04,-6.212919e-05,7.108409e+00,7.042039e+00
2.600000e-11,-1.305673e-04,-6.106010e-05,7.069804e+00,7.023581e+00
2.610000e-11,-1.245200e-04,-5.653846e-05,7.031712e+00,7.005976e+00
2.620000e-11,-1.104236e-04,-4.880055e-05,6.996646e+00,6.990222e+00
2.630000e-11,-8.954824e-05,-3.826986e-05,6.966818e+00,6.977218e+00
2.640000e-11,-6.360129e-05,-2.554028e-05,6.943992e+00,6.967710e+00
2.650000e-11,-3.459219e-05,-1.134572e-05,6.929375e+00,6.962242e+00
2.660000e-11,-4.670963e-06,3.482090e-06,6.923557e+00,6.961125e+00
2.670000e-11,2.404293e-05,1.806499e-05,6.926488e+00,6.964412e+00
2.680000e-11,4.962403e-05,3.153462e-05,6.937517e+00,6.971896e+00
2.690000e-11,7.048019e-05,4.308910e-05,6.955471e+00,6.983119e+00
2.700000e-11,8.545508e-05,5.204545e-05,6.978766e+00,6.997402e+00
2.710000e-11,9.388626e-05,5.788347e-05,7.005549e+00,7.013889e+00
2.720000e-11,9.561671e-05,6.027796e-05,7.033846e+00,7.031595e+00
2.730000e-11,9.096375e-05,5.911721e-05,7.061705e+00,7.049472e+00
2.740000e-11,8.065368e-05,5.450710e-05,7.087329e+00,7.066473e+00
2.750000e-11,6.573330e-05,4.676146e-05,7.109186e+00,7.081612e+00
2.760000e-11,4.746995e-05,3.638019e-05,7.126088e+00,7.094028e+00
2.770000e-11,2.725007e-05,2.401741e-05,7.137242e+00,7.103032e+00
2.780000e-11,6.483707e-06,1.044173e-05,7.142273e+00,7.108148e+00
2.790000e-11,-1.348071e-05,-3.508960e-06,7.141219e+00,7.109143e+00
2.800000e-11,-3.142945e-05,-1.697625e-05,7.134501e+00,7.106036e+00
2.810000e-11,-4.634376e-05,-2.913165e-05,7.122874e+00,7.099099e+00
2.820000e-11,-5.744718e-05,-3.922648e-05,7.107362e+00,7.088841e+00
2.830000e-11,-6.423915e-05,-4.663910e-05,7.089178e+00,7.075973e+00
2.840000e-11,-6.651368e-05,-5.091636e-05,7.069643e+00,7.061370e+00
2.850000e-11,-6.436142e-05,-5.180635e-05,7.050094e+00,7.046008e+00
2.860000e-11,-5.815390e-05,-4.927911e-05,7.031797e+00,7.030905e+00
2.870000e-11,-4.850972e-05,-4.353255e-05,7.015872e+00,7.017052e+00
2.880000e-11,-3.624432e-05,-3.498196e-05,7.003221e+00,7.005349e+00
2.890000e-11,-2.230654e-05,-2.423274e-05,6.994486e+00,6.996539e+00
2.900000e-11,-7.707077e-06,-1.203779e-05,6.990013e+00,6.991163e+00
2.910000e-11,6.555216e-06,7.570940e-07,6.989850e+00,6.989525e+00
2.920000e-11,1.956290e-05,1.327549e-05,6.993758e+00,6.991668e+00
2.930000e-11,3.053964e-05,2.467475e-05,7.001247e+00,6.997381e+00
2.940000e-11,3.889545e-05,3.420690e-05,7.011623e+00,7.006214e+00
2.950000e-11,4.425477e-05,4.127091e-05,7.024046e+00,7.017519e+00
2.960000e-11,4.646637e-05,4.545216e-05,7.037600e+00,7.030494e+00
2.970000e-11,4.559599e-05,4.654631e-05,7.051354e+00,7.044248e+00
2.980000e-11,4.190426e-05,4.456664e-05,7.064427e+00,7.057861e+00
2.990000e-11,3.581331e-05,3.973532e-05,7.076039e+00,7.070447e+00
3.000000e-11,2.786606e-05,3.246040e-05,7.085555e+00,7.081218e+00
3.010000e-11,1.868199e-05,2.330144e-05,7.092511e+00,7.089529e+00
3.020000e-11,8.912756e-06,1.292682e-05,7.096635e+00,7.094918e+00
3.030000e-11,-7.995928e-07,2.066072e-06,7.097848e+00,7.097132e+00
3.040000e-11,-9.859984e-06,-8.539699e-06,7.096255e+00,7.096141e+00
3.050000e-11,-1.775182e-05,-1.818653e-05,7.092128e+00,7.092126e+00
