time,"V(OUT1)","V(B1|XDCSFQ)","V(B2|XDCSFQ)","V(B3|XDCSFQ)","P(B1|XDCSFQ)","P(B2|XDCSFQ)","P(B3|XDCSFQ)"
1.380000e-11,2.632277e-05,8.582967e-06,5.364013e-05,1.951062e-05,5.351307e-02,2.030243e+00,1.122526e+00
1.390000e-11,2.529078e-05,1.349625e-05,5.520495e-05,1.915921e-05,5.675742e-02,2.046831e+00,1.128424e+00
1.400000e-11,2.452506e-05,1.641294e-05,5.728713e-05,1.909016e-05,6.116363e-02,2.063966e+00,1.134257e+00
1.410000e-11,2.402611e-05,1.721021e-05,5.980205e-05,1.928475e-05,6.611861e-02,2.081791e+00,1.140107e+00
1.420000e-11,2.378812e-05,1.593355e-05,6.269065e-05,1.971936e-05,7.099792e-02,2.100432e+00,1.146052e+00
1.430000e-11,2.380006e-05,1.278165e-05,6.592116e-05,2.036702e-05,7.521352e-02,2.119999e+00,1.152159e+00
1.440000e-11,2.404690e-05,8.080472e-06,6.948884e-05,2.119909e-05,7.825558e-02,2.140598e+00,1.158489e+00
1.450000e-11,2.451089e-05,2.249186e-06,7.341417e-05,2.218692e-05,7.972521e-02,2.162336e+00,1.165094e+00
1.460000e-11,2.517289e-05,-4.238695e-06,7.773989e-05,2.330349e-05,7.935646e-02,2.185329e+00,1.172016e+00
1.470000e-11,2.601375e-05,-1.089581e-05,8.252758e-05,2.452498e-05,7.702639e-02,2.209711e+00,1.179291e+00
1.490000e-11,2.816288e-05,-2.292778e-05,9.380854e-05,2.721151e-05,6.668461e-02,2.263279e+00,1.195014e+00
1.500000e-11,2.944396e-05,-2.758388e-05,1.004902e-04,2.865629e-05,5.907404e-02,2.292850e+00,1.203507e+00
1.510000e-11,3.085165e-05,-3.101868e-05,1.080074e-04,3.016715e-05,5.025376e-02,2.324586e+00,1.212449e+00
1.520000e-11,3.238433e-05,-3.313913e-05,1.164788e-04,3.175267e-05,4.060071e-02,2.358759e+00,1.221862e+00
1.530000e-11,3.404668e-05,-3.396906e-05,1.260351e-04,3.342963e-05,3.050194e-02,2.395681e+00,1.231771e+00
1.540000e-11,3.585029e-05,-3.364098e-05,1.368236e-04,3.522316e-05,2.032107e-02,2.435705e+00,1.242210e+00
1.550000e-11,3.781429e-05,-3.238011e-05,1.490137e-04,3.716679e-05,1.036824e-02,2.479232e+00,1.253218e+00
1.560000e-11,3.996578e-05,-3.048269e-05,1.628043e-04,3.930249e-05,8.757816e-04,2.526720e+00,1.264849e+00
1.570000e-11,4.234041e-05,-2.829065e-05,1.784325e-04,4.168085e-05,-8.019180e-03,2.578694e+00,1.277169e+00
1.580000e-11,4.498291e-05,-2.616477e-05,1.961827e-04,4.436138e-05,-1.628434e-02,2.635759e+00,1.290262e+00
1.590000e-11,4.794778e-05,-2.445879e-05,2.163957e-04,4.741318e-05,-2.399398e-02,2.698616e+00,1.304231e+00
1.600000e-11,5.130014e-05,-2.349643e-05,2.394779e-04,5.091592e-05,-3.132351e-02,2.768079e+00,1.319201e+00
1.610000e-11,5.511678e-05,-2.355292e-05,2.659061e-04,5.496139e-05,-3.853778e-02,2.845098e+00,1.335324e+00
1.620000e-11,5.948737e-05,-2.484225e-05,2.962277e-04,5.965555e-05,-4.597480e-02,2.930777e+00,1.352783e+00
1.630000e-11,6.451596e-05,-2.751076e-05,3.310493e-04,6.512127e-05,-5.402664e-02,3.026397e+00,1.371795e+00
1.640000e-11,7.032233e-05,-3.163698e-05,3.710076e-04,7.150158e-05,-6.311925e-02,3.133425e+00,1.392616e+00
1.650000e-11,7.704314e-05,-3.723703e-05,4.167080e-04,7.896356e-05,-7.369319e-02,3.253514e+00,1.415552e+00
1.660000e-11,8.483224e-05,-4.427430e-05,4.686154e-04,8.770232e-05,-8.618644e-02,3.388470e+00,1.440963e+00
1.670000e-11,9.385928e-05,-5.267124e-05,5.268721e-04,9.794481e-05,-1.010204e-01,3.540183e+00,1.469274e+00
1.680000e-11,1.043054e-04,-6.232061e-05,5.910190e-04,1.099526e-04,-1.185893e-01,3.710477e+00,1.500983e+00
1.690000e-11,1.163547e-04,-7.309298e-05,6.596062e-04,1.240218e-04,-1.392520e-01,3.900857e+00,1.536676e+00
1.700000e-11,1.301799e-04,-8.483655e-05,7.297185e-04,1.404801e-04,-1.633248e-01,4.112135e+00,1.577031e+00
1.710000e-11,1.459228e-04,-9.736625e-05,7.965214e-04,1.596768e-04,-1.910724e-01,4.343912e+00,1.622828e+00
1.720000e-11,1.636719e-04,-1.104403e-04,8.530509e-04,1.819673e-04,-2.226934e-01,4.593972e+00,1.674955e+00
1.730000e-11,1.834436e-04,-1.237260e-04,8.905684e-04,2.076935e-04,-2.582968e-01,4.857727e+00,1.734403e+00
1.740000e-11,2.051789e-04,-1.367622e-04,8.997423e-04,2.371633e-04,-2.978684e-01,5.127906e+00,1.802260e+00
1.750000e-11,2.287640e-04,-1.489303e-04,8.725921e-04,2.706409e-04,-3.412276e-01,5.394725e+00,1.879703e+00
1.760000e-11,2.540807e-04,-1.594490e-04,8.046372e-04,3.083577e-04,-3.879801e-01,5.646660e+00,1.967981e+00
1.770000e-11,2.810776e-04,-1.674056e-04,6.963995e-04,3.505526e-04,-4.374754e-01,5.871707e+00,2.068418e+00
1.780000e-11,3.098497e-04,-1.718255e-04,5.536571e-04,3.975447e-04,-4.887804e-01,6.058876e+00,2.182427e+00
1.790000e-11,3.407095e-04,-1.717736e-04,3.864816e-04,4.498272e-04,-5.406781e-01,6.199555e+00,2.311552e+00
1.800000e-11,3.742405e-04,-1.664720e-04,2.076102e-04,5.081662e-04,-5.916993e-01,6.288503e+00,2.457532e+00
1.810000e-11,4.113297e-04,-1.554142e-04,3.077004e-05,5.736685e-04,-6.401885e-01,6.324386e+00,2.622399e+00
1.820000e-11,4.531697e-04,-1.384615e-04,-1.307139e-04,6.477730e-04,-6.843996e-01,6.309868e+00,2.808574e+00
1.830000e-11,5.012124e-04,-1.159083e-04,-2.650077e-04,7.320918e-04,-7.226161e-01,6.251347e+00,3.018931e+00
1.840000e-11,5.570351e-04,-8.851263e-05,-3.626657e-04,8.279900e-04,-7.532848e-01,6.158375e+00,3.256775e+00
1.850000e-11,6.220557e-04,-5.748913e-05,-4.173672e-04,9.357628e-04,-7.751532e-01,6.042838e+00,3.525613e+00
1.860000e-11,6.970221e-04,-2.446482e-05,-4.263851e-04,1.053281e-03,-7.873985e-01,5.917954e+00,3.828588e+00
1.870000e-11,7.812251e-04,8.602270e-06,-3.906345e-04,1.174179e-03,-7.897377e-01,5.797195e+00,4.167432e+00
1.880000e-11,8.715124e-04,3.953979e-05,-3.142731e-04,1.286198e-03,-7.825079e-01,5.693280e+00,4.540923e+00
1.890000e-11,9.614472e-04,6.611007e-05,-2.040147e-04,1.371092e-03,-7.667062e-01,5.617315e+00,4.943162e+00
1.900000e-11,1.041245e-03,8.618495e-05,-6.842064e-05,1.407764e-03,-7.439805e-01,5.578133e+00,5.362410e+00
1.910000e-11,1.099080e-03,9.793523e-05,8.262771e-05,1.378716e-03,-7.165666e-01,5.581811e+00,5.781445e+00
1.920000e-11,1.123661e-03,1.000181e-04,2.382528e-04,1.276765e-03,-6.871681e-01,5.631299e+00,6.179756e+00
1.930000e-11,1.107094e-03,9.174238e-05,3.868648e-04,1.107798e-03,-6.587845e-01,5.726162e+00,6.536932e+00
1.940000e-11,1.046747e-03,7.319043e-05,5.166734e-04,8.881512e-04,-6.344971e-01,5.862445e+00,6.835903e+00
1.950000e-11,9.454789e-04,4.527641e-05,6.166347e-04,6.390045e-04,-6.172298e-01,6.032784e+00,7.065002e+00
1.960000e-11,8.105090e-04,9.726538e-06,6.778051e-04,3.812510e-04,-6.095037e-01,6.226866e+00,7.218598e+00
1.970000e-11,6.516895e-04,-3.102657e-05,6.947377e-04,1.326437e-04,-6.132133e-01,6.432292e+00,7.296667e+00
